,SP500 naive,SP500 hmm SP500 1,SP500 hmm SP500 0,SP500 hmm WTI 1,SP500 hmm WTI 0,WTI naive,WTI hmm SP500 1,WTI hmm SP500 0,WTI hmm WTI 1,WTI hmm WTI 0
EI_best_sharpe,0.074,0.124,-0.07,-0.001,-0.001,0.089,0.072,-0.032,0.054,0.065
EI_best_params,"[17.873, 1.537, 0.01]","[8.455, 1.233, 0.01]","[2.754, 1.365, 0.01]","[8.0, 2.911, 0.05]","[11.0, 3.717, 0.041]","[2.809, 1.628, 0.01]","[3.5, 1.0, 0.01]","[3.362, 1.897, 0.01]","[11.265, 1.657, 0.01]","[9.0, 1.917, 0.03]"
qEI_best_sharpe,0.083,0.101,-0.184,-0.001,0.025,0.145,0.072,-0.032,0.054,0.065
qEI_best_params,"[19.913, 1.448, 0.01]","[8.2, 1.33, 0.01]","[9.8, 1.141, 0.01]","[8.0, 2.911, 0.05]","[10.054, 1.0, 0.01]","[6.244, 1.619, 0.01]","[3.697, 1.0, 0.01]","[5.0, 2.008, 0.01]","[13.241, 1.712, 0.018]","[9.0, 1.917, 0.03]"
UCB_best_sharpe,0.164,0.128,-0.229,-0.001,-0.001,0.041,0.029,-0.037,-0.08,0.162
UCB_best_params,"[16.992, 1.466, 0.01]","[9.52, 1.192, 0.01]","[9.91, 1.0, 0.01]","[8.0, 2.911, 0.05]","[11.0, 3.717, 0.041]","[4.508, 1.776, 0.01]","[2.192, 1.641, 0.01]","[3.72, 1.788, 0.01]","[12.751, 1.798, 0.013]","[9.202, 1.9, 0.023]"
qKG_best_sharpe,0.193,-0.001,-0.001,-0.001,-0.001,0.096,0.098,-0.009,0.046,0.065
qKG_best_params,"[9.522, 1.278, 0.01]","[22.726, 2.895, 0.05]","[6.95, 3.752, 0.029]","[8.0, 2.911, 0.05]","[8.106, 2.511, 0.05]","[5.558, 1.488, 0.014]","[6.646, 1.0, 0.05]","[4.986, 2.053, 0.01]","[11.913, 1.651, 0.01]","[9.0, 1.917, 0.03]"
Best_sharpe,0.193,0.128,-0.001,-0.001,0.025,0.145,0.098,-0.009,0.054,0.162
Best_params,"[9.522, 1.278, 0.01]","[9.52, 1.192, 0.01]","[6.95, 3.752, 0.029]","[8.0, 2.911, 0.05]","[10.054, 1.0, 0.01]","[6.244, 1.619, 0.01]","[6.646, 1.0, 0.05]","[4.986, 2.053, 0.01]","[11.265, 1.657, 0.01]","[9.202, 1.9, 0.023]"
